"season","prob1","prob2","prob3","factor","errFactor","seePen"
NA,NA,NA,NA,NA,NA,NA
"A",0.612524938057357,0.497750323295922,0.497082495601094,0.9,1.5,0.024
"B",0.63990441978764,0.549342420168762,0.547916598449707,0.9,1.5,0.024
"C",0.644558313842276,0.562162877299359,0.557230323845733,0.9,1.5,0.024
"D",0.595421831385384,0.533713575284032,0.532096707587973,0.9,1.5,0.024
"E",0.624896634915207,0.55083439809315,0.550342108338209,0.9,1.5,0.024
"F",0.624189180687838,0.544997852260189,0.543232655853251,0.9,1.5,0.024
"G",0.648744250502096,0.578188424153087,0.60756426372457,0.9,1.5,0.024
"H",0.644382268107698,0.53102552451566,0.528636995845651,0.9,1.5,0.024
"I",0.629668460293909,0.514586417639556,0.514379210973767,0.9,1.5,0.024
"J",0.604348294979802,0.506224977407803,0.501711666168517,0.9,1.5,0.024
"K",0.636047941050276,0.55472256215787,0.553516658961797,0.9,1.5,0.024
"L",0.593366230645891,0.435450329058717,0.433385073675477,0.9,1.5,0.024
"M",0.582719744334557,0.481532929645601,0.479309010886097,0.9,1.5,0.024
"N",0.62594691114363,0.505808325466185,0.504330575568555,0.9,1.5,0.024
"O",0.631867666409338,0.540915255547818,0.540111636104672,0.9,1.5,0.024
"P",0.654806173571489,0.604416350440851,0.629936260910311,0.9,1.5,0.024
"Q",0.638738476686813,0.602344067802665,0.59736646759895,0.9,1.5,0.024
"R",0.633874202569748,0.593801758313577,0.592202363832421,0.9,1.5,0.024
