"V1","V2","V3","V4","V5","probFin","probFin2","probFin3"
"S_507_509",0.445511944032121,0.840026938507648,1,"Albany NY v. American Univ",0.405514637882886,0.405514637882886,0.35
"S_507_511",0.285174801269976,0.88608002609734,15,"Albany NY v. Arizona",0,0.001,0
"S_507_512",0.446706414272377,0.941849751951384,6,"Albany NY v. Arizona St",0.296891389467515,0.296891389467515,0.296891389467515
"S_507_521",0.456875187275597,0.856867331905595,10,"Albany NY v. Baylor",0.202561920466156,0.202561920466156,0.202561920466156
"S_507_536",0.450005243041319,1.02960313337356,6,"Albany NY v. BYU",0.308965556378675,0.308965556378675,0.308965556378675
"S_507_538",0.579859893999442,0.837106278626143,0,"Albany NY v. Cal Poly SLO",0.596149266136828,0.596149266136828,0.5
"S_507_549",0.360849287957664,0.941726512660762,11,"Albany NY v. Cincinnati",0.0910219392237405,0.001,0.0910219392237405
"S_507_553",0.512268134910391,0.855153614157151,0,"Albany NY v. Coastal Car",0.526752773494675,0.526752773494675,0.5
"S_507_556",0.491690893110675,0.944326971313321,8,"Albany NY v. Colorado",0.294123590242007,0.294123590242007,0.294123590242007
"S_507_559",0.399316087469881,0.94394554480832,9,"Albany NY v. Connecticut",0.177710641950713,0.177710641950713,0.177710641950713
"S_507_562",0.359308613877707,0.918527779304897,13,"Albany NY v. Creighton",0.039161391808197,0.001,0.039161391808197
"S_507_569",0.450822863074974,0.918037174810949,5,"Albany NY v. Dayton",0.322626580556068,0.322626580556068,0.322626580556068
"S_507_570",0.476743169439394,0.854843395168209,3,"Albany NY v. Delaware",0.390227508956215,0.390227508956215,0.35
"S_507_577",0.366543161029206,0.952020787102809,13,"Albany NY v. Duke",0.0497452397394872,0.001,0.0497452397394872
"S_507_580",0.459854116838109,0.844971166924044,1,"Albany NY v. E Kentucky",0.420351233530513,0.420351233530513,0.35
"S_507_592",0.319631192929436,0.833590999748048,15,"Albany NY v. Florida",0,0.001,0
"S_507_599",0.438700125170838,0.919796492540209,7,"Albany NY v. G Washington",0.262679774424859,0.262679774424859,0.262679774424859
"S_507_607",0.364266145857635,0.90104164944602,8,"Albany NY v. Gonzaga",0.162370310802237,0.162370310802237,0.162370310802237
"S_507_612",0.341711574978826,0.978258721645917,4,"Albany NY v. Harvard",0.243537447143417,0.243537447143417,0.243537447143417
"S_507_628",0.368893685967111,0.979065634867733,5,"Albany NY v. Iowa",0.246800249453885,0.246800249453885,0.246800249453885
"S_507_629",0.415787525125606,0.932617680936969,13,"Albany NY v. Iowa St",0.0970492932193031,0.001,0.0970492932193031
"S_507_636",0.407538891348488,0.895853777348927,14,"Albany NY v. Kansas",0.0611242690833805,0.001,0.0611242690833805
"S_507_637",0.47427918874598,0.935676765994428,7,"Albany NY v. Kansas St",0.299846865345423,0.299846865345423,0.299846865345423
"S_507_640",0.398721987077015,0.908222705775693,8,"Albany NY v. Kentucky",0.197544257654585,0.197544257654585,0.197544257654585
"S_507_651",0.197778140009849,0.9573524507696,12,"Albany NY v. Louisville",0,0.001,0
"S_507_658",0.431261408964911,0.844818780823363,3,"Albany NY v. Manhattan",0.343743287047247,0.343743287047247,0.343743287047247
"S_507_663",0.460100396502218,0.945102169979036,10,"Albany NY v. Massachusetts",0.214610613500122,0.214610613500122,0.214610613500122
"S_507_666",0.44110873574098,0.939941486456358,8,"Albany NY v. Memphis",0.243102884386615,0.243102884386615,0.243102884386615
"S_507_667",0.393484414647047,1.0171914509373,2,"Albany NY v. Mercer",0.347203559740777,0.347203559740777,0.347203559740777
"S_507_670",0.399550237716447,0.904934924259698,14,"Albany NY v. Michigan",0.0540437301424173,0.001,0.0540437301424173
"S_507_671",0.375973503363433,0.972205284588312,12,"Albany NY v. Michigan St",0.0851940318222642,0.001,0.0851940318222642
"S_507_686",0.557576651179959,0.933282368208371,0,"Albany NY v. Mt St Mary's",0.564248414359122,0.564248414359122,0.5
"S_507_689",0.428712247181919,0.901941250526063,4,"Albany NY v. N Dakota St",0.322906372234525,0.322906372234525,0.322906372234525
"S_507_694",0.321542819794306,0.869099648096787,2,"Albany NY v. NC Central",0.260452784603984,0.260452784603984,0.260452784603984
"S_507_695",0.514927297422003,0.898964877192878,4,"Albany NY v. NC State",0.408823785141291,0.408823785141291,0.35
"S_507_698",0.501397964938229,0.940715720221983,5,"Albany NY v. Nebraska",0.375469536960427,0.375469536960427,0.35
"S_507_701",0.412600405837315,0.961940393250192,9,"Albany NY v. New Mexico",0.192794445162334,0.192794445162334,0.192794445162334
"S_507_702",0.402105546430593,0.917338405070392,3,"Albany NY v. New Mexico St",0.321839386937632,0.321839386937632,0.321839386937632
"S_507_708",0.431628595229274,0.942914693773711,10,"Albany NY v. North Carolina",0.185920064606646,0.185920064606646,0.185920064606646
"S_507_720",0.370872709622845,0.920608210794613,10,"Albany NY v. Ohio St",0.122933530702306,0.122933530702306,0.122933530702306
"S_507_721",0.453086564618027,0.917993778144536,11,"Albany NY v. Oklahoma",0.180885942432481,0.180885942432481,0.180885942432481
"S_507_722",0.375799561611079,0.9913051217564,7,"Albany NY v. Oklahoma St",0.206930073786719,0.206930073786719,0.206930073786719
"S_507_725",0.430643115015157,1.02417917622485,9,"Albany NY v. Oregon",0.217061032637642,0.217061032637642,0.217061032637642
"S_507_731",0.376239630678013,0.957638866385961,7,"Albany NY v. Pittsburgh",0.204003517316609,0.204003517316609,0.204003517316609
"S_507_737",0.482003478586752,0.938298252973054,5,"Albany NY v. Providence",0.355833303884058,0.355833303884058,0.35
"S_507_754",0.357333390698275,0.873592762433677,12,"Albany NY v. San Diego St",0.0566926669416424,0.001,0.0566926669416424
